,training_iteration,ep_rew,algo
59,60,138.56366723,baseline
60,61,137.98789581,baseline
61,62,141.40609074,baseline
0,1,59.9406816923077,baseline
1,2,61.83683926,baseline
2,3,62.635272077922075,baseline
3,4,62.09392486,baseline
4,5,63.119313040000016,baseline
5,6,63.13636379,baseline
6,7,63.59893002000001,baseline
7,8,64.09079076,baseline
8,9,63.98306619000001,baseline
9,10,63.94042735,baseline
10,11,63.88298317000002,baseline
11,12,63.94341061,baseline
12,13,64.04299302999999,baseline
13,14,64.06305391999999,baseline
14,15,64.16561727,baseline
15,16,64.20896242,baseline
0,1,64.432695,baseline
1,2,65.06268249999998,baseline
2,3,65.06268249999998,baseline
3,4,81.0622733125,baseline
4,5,89.5188993,baseline
5,6,95.88881766666668,baseline
6,7,98.76087896428574,baseline
7,8,101.2682188387097,baseline
0,1,64.41535741666667,baseline
1,2,62.39066,baseline
2,3,62.65823494594595,baseline
3,4,62.04712852941177,baseline
4,5,62.44944314062501,baseline
5,6,62.60866188461538,baseline
6,7,62.35379117582418,baseline
7,8,62.3725535,baseline
8,9,62.84248119000001,baseline
9,10,62.86444442999999,baseline
10,11,62.90967528,baseline
11,12,63.30230721,baseline
12,13,63.29221487,baseline
13,14,62.93664945,baseline
14,15,63.35910872,baseline
15,16,63.42458320000001,baseline
16,17,63.01201817000001,baseline
17,18,62.93876794,baseline
18,19,62.97508584,baseline
19,20,62.14665923999999,baseline
20,21,62.07423869,baseline
21,22,62.49708453,baseline
22,23,62.46286264,baseline
23,24,62.38115663000001,baseline
24,25,62.82202348000001,baseline
25,26,62.41341409,baseline
26,27,62.86932959000001,baseline
27,28,63.38365376,baseline
28,29,63.34755863,baseline
29,30,63.32632982999999,baseline
30,31,63.42002975000001,baseline
0,1,64.24779341666667,baseline
1,2,77.701864,baseline
2,3,88.519769875,baseline
3,4,104.2026343,baseline
4,5,104.99826388235294,baseline
5,6,109.85980229545451,baseline
6,7,108.5912198653846,baseline
7,8,111.89150936842104,baseline
8,9,113.85484741935484,baseline
9,10,117.2019521304348,baseline
10,11,118.36377602702706,baseline
11,12,119.05435008641977,baseline
12,13,119.05950629545455,baseline
13,14,119.71540799999998,baseline
14,15,120.28089153,baseline
15,16,124.63741146,baseline
16,17,129.25855585,baseline
17,18,128.02386102999998,baseline
18,19,130.09214685,baseline
19,20,126.28548595,baseline
20,21,125.64813043,baseline
21,22,128.24809291000003,baseline
22,23,129.18254567,baseline
23,24,127.73730007,baseline
24,25,126.93798954,baseline
25,26,125.80267832,baseline
26,27,126.07231904000002,baseline
27,28,126.24416611,baseline
28,29,126.11202647000002,baseline
29,30,126.86791398,baseline
30,31,126.82957479,baseline
0,1,63.64433083333334,baseline
1,2,63.64014979166666,baseline
2,3,63.9661208888889,baseline
3,4,62.990568775510205,baseline
4,5,63.19817014062501,baseline
5,6,63.40623616883118,baseline
6,7,63.47440971910113,baseline
7,8,63.57093927000001,baseline
8,9,63.73656432000001,baseline
9,10,63.73308278,baseline
10,11,63.66496571999999,baseline
11,12,64.16473584999999,baseline
12,13,64.27406805,baseline
13,14,64.40316442000001,baseline
14,15,64.60398431000002,baseline
15,16,64.72315171999999,baseline
16,17,65.31125284,baseline
17,18,65.31926423,baseline
18,19,77.35149856000002,baseline
19,20,77.47750518000002,baseline
20,21,89.56556664000001,baseline
21,22,89.91050360000001,baseline
22,23,99.17047756,baseline
23,24,102.24518204999998,baseline
24,25,114.14899477,baseline
25,26,120.08190706,baseline
26,27,125.9431829,baseline
27,28,131.70634935,baseline
28,29,137.42961305999998,baseline
29,30,148.79996136000003,baseline
30,31,154.49651351,baseline
0,1,,baseline
1,2,65.08671325,baseline
2,3,64.431905375,baseline
3,4,64.44065025000002,baseline
4,5,61.4640270625,baseline
5,6,61.47731647058824,baseline
6,7,61.972828380952365,baseline
7,8,62.3181284,baseline
8,9,62.401851107142846,baseline
9,10,62.505045967741935,baseline
10,11,62.65724493939394,baseline
11,12,62.82992389189189,baseline
12,13,62.981573804878046,baseline
13,14,63.01472643181818,baseline
14,15,62.1307593125,baseline
15,16,62.18567116,baseline
16,17,61.53498276363637,baseline
17,18,61.60384970689656,baseline
18,19,61.695560032786894,baseline
19,20,61.901118707692305,baseline
20,21,61.96286230882353,baseline
21,22,62.03788111267606,baseline
22,23,62.08915290540543,baseline
23,24,62.14026166233767,baseline
24,25,62.268436716049386,baseline
25,26,62.341270345238094,baseline
26,27,62.407973413793094,baseline
27,28,62.42540467777778,baseline
28,29,61.9605520425532,baseline
29,30,62.007039500000005,baseline
30,31,62.0409811,baseline
31,32,62.01586753000001,baseline
32,33,62.03200798999999,baseline
33,34,61.98975744000001,baseline
34,35,62.41143789999998,baseline
35,36,62.42952034,baseline
36,37,62.43562275,baseline
37,38,62.41749075999999,baseline
38,39,62.42151148999999,baseline
39,40,62.45673291999999,baseline
40,41,62.44960682,baseline
41,42,61.9817363,baseline
42,43,61.98669053,baseline
43,44,61.97559575,baseline
44,45,62.42137931999999,baseline
45,46,62.45150448,baseline
46,47,62.46355297,baseline
47,48,62.92848492,baseline
48,49,62.525863060000006,baseline
49,50,62.51080996,baseline
50,51,62.43230224,baseline
51,52,62.47856535,baseline
52,53,62.42613571,baseline
53,54,62.47752009000001,baseline
54,55,62.45834161999999,baseline
55,56,62.44015879,baseline
56,57,62.44214411000001,baseline
57,58,62.43612658,baseline
58,59,62.92016657,baseline
59,60,62.95637736,baseline
60,61,62.931202799999994,baseline
61,62,62.96641678999998,baseline
62,63,62.93219044999999,baseline
63,64,62.99761845999999,baseline
64,65,62.96643521000001,baseline
65,66,62.94427212,baseline
66,67,62.95129193,baseline
67,68,62.96230744,baseline
68,69,62.96935928,baseline
69,70,62.90794697000001,baseline
70,71,62.89285606000001,baseline
71,72,62.86468526000001,baseline
72,73,63.30849592,baseline
73,74,63.27634193,baseline
74,75,63.27840901,baseline
75,76,62.81543686,baseline
76,77,62.80333913000001,baseline
77,78,62.34355601000002,baseline
78,79,62.32552137,baseline
79,80,62.75116779000001,baseline
80,81,62.75414081000001,baseline
81,82,62.76821593,baseline
82,83,62.822544240000006,baseline
83,84,62.36162488,baseline
84,85,62.31640867000001,baseline
85,86,62.32048661000001,baseline
86,87,62.25702686,baseline
87,88,62.25497741,baseline
88,89,62.20969775,baseline
89,90,61.82630182000001,baseline
90,91,61.86148176000002,baseline
91,92,61.83840884,baseline
92,93,61.793096350000006,baseline
93,94,61.80011926,baseline
94,95,61.80825264,baseline
95,96,61.80016897999999,baseline
96,97,61.85749656,baseline
97,98,61.86049581,baseline
98,99,61.86553343999999,baseline
99,100,61.87561394000002,baseline
100,101,61.88675714000001,baseline
101,102,61.939108880000006,baseline
102,103,61.55176825,baseline
103,104,61.57185466,baseline
104,105,61.56178333,baseline
105,106,62.01254275,baseline
106,107,62.00659245,baseline
107,108,62.485531860000016,baseline
108,109,62.51466015000002,baseline
109,110,62.55185168000002,baseline
110,111,62.57196414,baseline
111,112,62.57700193999999,baseline
112,113,62.53877846000001,baseline
113,114,62.96944383000002,baseline
114,115,62.95134961000002,baseline
115,116,62.54277223,baseline
116,117,62.60301839999999,baseline
117,118,62.60614385000001,baseline
118,119,62.64225087000001,baseline
119,120,62.65738434000001,baseline
120,121,63.07906251,baseline
121,122,63.03880719,baseline
122,123,63.02669509,baseline
0,1,64.710563,baseline
1,2,64.21274949999999,baseline
2,3,64.8085390625,baseline
3,4,66.02433554166667,baseline
4,5,66.33600396428571,baseline
5,6,66.49987208333333,baseline
6,7,66.609927025,baseline
7,8,66.403976,baseline
8,9,66.42444311320754,baseline
9,10,66.54484413333334,baseline
10,11,66.69776099999999,baseline
11,12,67.27958668055554,baseline
12,13,67.33551236986301,baseline
13,14,67.33551236986301,baseline
14,15,67.33551236986301,baseline
15,16,82.2570154025974,baseline
16,17,85.46342576543209,baseline
17,18,84.47349925581395,baseline
18,19,83.50962678494625,baseline
19,20,82.7402751020408,baseline
20,21,82.49206933,baseline
21,22,82.59124118,baseline
22,23,82.63482229000002,baseline
23,24,82.45431970000001,baseline
24,25,82.38447628,baseline
25,26,82.32952294,baseline
26,27,82.2837762,baseline
27,28,82.47068524000002,baseline
28,29,82.61324674,baseline
29,30,82.75706749,baseline
30,31,82.81320029999998,baseline
31,32,82.69796604000003,baseline
32,33,71.30758720999998,baseline
33,34,68.15806282999999,baseline
34,35,68.17677943000001,baseline
35,36,68.11138466999999,baseline
36,37,68.28767477,baseline
37,38,68.50459443999999,baseline
38,39,68.68513981,baseline
39,40,68.90314097999999,baseline
40,41,69.16673989999998,baseline
41,42,69.28407954,baseline
42,43,69.61259711000001,baseline
43,44,69.73301029,baseline
44,45,70.00816049000001,baseline
45,46,70.19041205,baseline
46,47,70.42708884000002,baseline
47,48,70.69009334,baseline
48,49,70.83888463,baseline
49,50,70.96985455,baseline
50,51,71.19067098,baseline
51,52,71.39110140000003,baseline
52,53,71.6453415,baseline
53,54,71.85481132999998,baseline
54,55,72.01197470999998,baseline
55,56,72.30636829,baseline
56,57,72.59352811999999,baseline
57,58,72.97369305000002,baseline
58,59,73.24070479,baseline
59,60,73.66739614,baseline
60,61,74.27075932,baseline
61,62,74.70951365,baseline
0,1,64.8107645,baseline
1,2,64.505414,baseline
2,3,41.523807517241366,baseline
3,4,44.75291696969698,baseline
4,5,47.80404954054056,baseline
5,6,47.80404954054056,baseline
6,7,47.80404954054056,baseline
7,8,78.85235629268293,baseline
8,9,78.85235629268293,baseline
9,10,78.85235629268293,baseline
10,11,99.22136953333332,baseline
11,12,97.39753412244896,baseline
12,13,97.0115191153846,baseline
13,14,99.49559516363634,baseline
14,15,103.01589374137932,baseline
15,16,103.60375268333335,baseline
16,17,105.12243830303032,baseline
17,18,103.70449902857143,baseline
18,19,102.15266319999999,baseline
19,20,101.38056301282049,baseline
20,21,102.72139765432098,baseline
21,22,104.5234774352941,baseline
22,23,104.77833156179771,baseline
23,24,104.9283127252747,baseline
24,25,105.59293047368419,baseline
25,26,106.27657877777777,baseline
26,27,107.97248044,baseline
27,28,109.44656253,baseline
28,29,111.65796641,baseline
29,30,115.25351857,baseline
30,31,116.56847663000002,baseline
31,32,120.55169961,baseline
32,33,123.55854529000004,baseline
33,34,126.99911214000004,baseline
34,35,130.21742467,baseline
35,36,133.36530548000002,baseline
36,37,135.65751622,baseline
37,38,138.1441781,baseline
38,39,133.51097977,baseline
39,40,126.90154372,baseline
40,41,121.2499087,baseline
41,42,122.35100085,baseline
42,43,123.33188506,baseline
43,44,121.08705485999997,baseline
44,45,121.30928050999997,baseline
45,46,120.79215405,baseline
46,47,121.17687590999998,baseline
47,48,122.76681709999998,baseline
48,49,124.37859326,baseline
49,50,126.22376221,baseline
50,51,126.45345383,baseline
51,52,126.99639047,baseline
